Running MPI+HIP Jacobi solver for N = 201 with max iterations = 100000 on 4 ranks.
Rank 1 is using GPU 0
Rank 2 is using GPU 0
Rank 3 is using GPU 0
Total HIP devices found: 1
Rank 0 is using GPU 0
Iter:     0, Max Diff: 9.858204e-01
Iter:   500, Max Diff: 9.858204e-01
Iter:  1000, Max Diff: 9.858204e-01
Iter:  1500, Max Diff: 9.858204e-01
Iter:  2000, Max Diff: 9.858204e-01
Iter:  2500, Max Diff: 9.858204e-01
Iter:  3000, Max Diff: 9.858204e-01
Iter:  3500, Max Diff: 9.858204e-01
Iter:  4000, Max Diff: 9.858204e-01
Iter:  4500, Max Diff: 9.858204e-01
Iter:  5000, Max Diff: 9.858204e-01
Iter:  5500, Max Diff: 9.858204e-01
Iter:  6000, Max Diff: 9.858204e-01
Iter:  6500, Max Diff: 9.858204e-01
Iter:  7000, Max Diff: 9.858204e-01
Iter:  7500, Max Diff: 9.858204e-01
Iter:  8000, Max Diff: 9.858204e-01
Iter:  8500, Max Diff: 9.858204e-01
Iter:  9000, Max Diff: 9.858204e-01
Iter:  9500, Max Diff: 9.858204e-01
Iter: 10000, Max Diff: 9.858204e-01
Iter: 10500, Max Diff: 9.858204e-01
Iter: 11000, Max Diff: 9.858204e-01
Iter: 11500, Max Diff: 9.858204e-01
Iter: 12000, Max Diff: 9.858204e-01
Iter: 12500, Max Diff: 9.858204e-01
Iter: 13000, Max Diff: 9.858204e-01
Iter: 13500, Max Diff: 9.858204e-01
Iter: 14000, Max Diff: 9.858204e-01
Iter: 14500, Max Diff: 9.858204e-01
Iter: 15000, Max Diff: 9.858204e-01
Iter: 15500, Max Diff: 9.858204e-01
Iter: 16000, Max Diff: 9.858204e-01
Iter: 16500, Max Diff: 9.858204e-01
Iter: 17000, Max Diff: 9.858204e-01
Iter: 17500, Max Diff: 9.858204e-01
Iter: 18000, Max Diff: 9.858204e-01
Iter: 18500, Max Diff: 9.858204e-01
Iter: 19000, Max Diff: 9.858204e-01
Iter: 19500, Max Diff: 9.858204e-01
Iter: 20000, Max Diff: 9.858204e-01
Iter: 20500, Max Diff: 9.858204e-01
Iter: 21000, Max Diff: 9.858204e-01
Iter: 21500, Max Diff: 9.858204e-01
Iter: 22000, Max Diff: 9.858204e-01
Iter: 22500, Max Diff: 9.858204e-01
Iter: 23000, Max Diff: 9.858204e-01
Iter: 23500, Max Diff: 9.858204e-01
Iter: 24000, Max Diff: 9.858204e-01
Iter: 24500, Max Diff: 9.858204e-01
Iter: 25000, Max Diff: 9.858204e-01
Iter: 25500, Max Diff: 9.858204e-01
Iter: 26000, Max Diff: 9.858204e-01
Iter: 26500, Max Diff: 9.858204e-01
Iter: 27000, Max Diff: 9.858204e-01
Iter: 27500, Max Diff: 9.858204e-01
Iter: 28000, Max Diff: 9.858204e-01
Iter: 28500, Max Diff: 9.858204e-01
Iter: 29000, Max Diff: 9.858204e-01
Iter: 29500, Max Diff: 9.858204e-01
